"INCOME","SEX","MARITAL.STATUS","AGE","EDUCATION","OCCUPATION","AREA","DUAL.INCOMES","HOUSEHOLD.SIZE","UNDER18","HOUSEHOLDER","HOME.TYPE","ETHNIC.CLASS","LANGUAGE"
"[40.000-50.000)","M","Divorced","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","1-3 years","Not Married",5,1,"Family","Apartment","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Professional/Managerial","4-6 years","Not Married",3,0,"Family","House","White","English"
"[30.000-40.000)","M","Divorced","25-34","1 to 3 years of college","Professional/Managerial","4-6 years","Not Married",1,0,"Rent","House","White","English"
"[15.000-20.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"[30.000-40.000)","M","Married","25-34","1 to 3 years of college","Military","1-3 years","Yes",2,0,"Rent","Apartment","Hispanic","English"
"[50.000-75.000)","M","Married","65+","College graduate","Retired","10+ years","No",2,0,"Own","Condominium","White","English"
"[75.000-","F","Married","35-44","1 to 3 years of college","Homemaker","4-6 years","No",4,1,"Own","House","White","English"
"[40.000-50.000)","M","Married","45-54","Graduated High Scool","Factory Worker/Laborer/Driver","7-10 years","Yes",2,0,"Own","House","White","English"
"[25.000-30.000)","F","Married","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","-1 year","Yes",3,1,"Rent","House","White","English"
"[50.000-75.000)","M","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes",3,0,"Own","House","Other","English"
"-10.000)","F","Together","18-24","1 to 3 years of college","Sales Worker","7-10 years","Not Married",5,1,"Family","House","White","English"
"-10.000)","F","Single","25-34","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",2,0,"Family","Apartment","White","English"
"[30.000-40.000)","F","Married","35-44","Graduated High Scool","Homemaker","10+ years","Yes",4,2,"Own","House","White","English"
"[10.000-15.000)","M","Single","55-64","1 to 3 years of college","Retired","10+ years","Not Married",2,0,"Family","House","White","English"
"[30.000-40.000)","M","Divorced","65+","College graduate","Retired","10+ years","Not Married",1,0,"Rent","House","White","English"
"[20.000-25.000)","F","Married","45-54","College graduate","Retired","4-6 years","No",2,0,"Own","House","White","English"
"[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Homemaker","1-3 years","No",2,0,"Own","Other","White","English"
"-10.000)","M","Single","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","4-6 years","Not Married",3,0,"Rent","House","White","English"
"-10.000)","M","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married",6,3,"Family","House","White","English"
"[10.000-15.000)","F","Divorced","25-34","1 to 3 years of college","Military","4-6 years","Not Married",1,0,"Rent","Apartment","White","English"
"[30.000-40.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","No",2,0,"Own","Condominium","White","English"
"[10.000-15.000)","M","Single","18-24","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married",3,0,"Own","House","White","English"
"[15.000-20.000)","M","Single","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married",1,0,"Family","House","White","English"
"[30.000-40.000)","F","Married","25-34","1 to 3 years of college","Homemaker","1-3 years","Yes",3,1,"Own","House","White","English"
"[15.000-20.000)","M","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married",3,1,"Family","House","White","English"
"[30.000-40.000)","F","Single","18-24","Grades 9 to 11","Student, HS or College","10+ years","Not Married",6,1,"Family","House","White","English"
"[75.000-","M","Married","55-64","College graduate","Professional/Managerial","7-10 years","Yes",2,0,"Own","House","White","English"
"[25.000-30.000)","F","Married","55-64","College graduate","Retired","10+ years","No",4,1,"Own","House","White","English"
"[40.000-50.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","No",2,0,"Own","House","White","English"
"-10.000)","F","Single","35-44","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married",1,0,"Rent","Apartment","White","Other"
"[50.000-75.000)","F","Married","35-44","Graduated High Scool","Professional/Managerial","10+ years","Yes",4,1,"Own","Other","White","English"
"[50.000-75.000)","F","Married","35-44","College graduate","Professional/Managerial","4-6 years","Yes",2,0,"Own","House","Black","English"
"[30.000-40.000)","F","Married","25-34","College graduate","Professional/Managerial","10+ years","No",3,1,"Own","House","White","English"
"[30.000-40.000)","F","Married","45-54","1 to 3 years of college","Homemaker","10+ years","No",6,3,"Own","House","Asian","English"
"[15.000-20.000)","F","Married","18-24","Graduated High Scool","Factory Worker/Laborer/Driver","4-6 years","Yes",3,1,"Rent","Apartment","Black","English"
"[30.000-40.000)","M","Single","18-24","1 to 3 years of college","Professional/Managerial","4-6 years","Not Married",2,0,"Rent","Apartment","Hispanic","English"
"[75.000-","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","No",3,1,"Own","House","White","English"
"[40.000-50.000)","M","Single","25-34","1 to 3 years of college","Military","10+ years","Not Married",4,0,"Own","House","White","English"
"[75.000-","F","Married","45-54","1 to 3 years of college","Unemployed","10+ years","No",5,2,"Own","House","White","English"
"[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","7-10 years","Yes",2,0,"Rent","House","White","English"
"-10.000)","F","Single","35-44","Graduated High Scool","Unemployed","1-3 years","Not Married",1,0,"Rent","Apartment","White","English"
"[25.000-30.000)","F","Widowed","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",1,0,"Rent","Apartment","Black","English"
"[75.000-","M","Married","45-54","1 to 3 years of college","Sales Worker","10+ years","Yes",4,0,"Own","House","White","English"
"[10.000-15.000)","M","Together","18-24","Grades 9 to 11","Professional/Managerial","10+ years","Not Married",4,1,"Family","House","White","English"
"[25.000-30.000)","F","Divorced","35-44","1 to 3 years of college","Clerical/Service Worker","4-6 years","Not Married",3,2,"Own","Condominium","White","English"
"[30.000-40.000)","F","Married","65+","1 to 3 years of college","Homemaker","10+ years","No",3,0,"Own","House","White","English"
"[10.000-15.000)","M","Married","45-54","1 to 3 years of college","Student, HS or College","1-3 years","No",5,2,"Own","House","Hispanic","Other"
"[20.000-25.000)","F","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",2,0,"Own","Condominium","Black","English"
"[25.000-30.000)","F","Married","25-34","1 to 3 years of college","Homemaker","10+ years","No",6,4,"Rent","Apartment","White","English"
"[25.000-30.000)","M","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married",1,0,"Rent","House","Hispanic","English"
"[25.000-30.000)","F","Married","25-34","1 to 3 years of college","Sales Worker","10+ years","Yes",3,1,"Own","House","White","English"
"[50.000-75.000)","M","Married","25-34","College graduate","Sales Worker","4-6 years","Yes",2,0,"Own","House","White","English"
"[10.000-15.000)","M","Widowed","65+","1 to 3 years of college","Retired","10+ years","Not Married",1,0,"Own","House","Black","English"
"[20.000-25.000)","M","Married","25-34","Graduated High Scool","Clerical/Service Worker","10+ years","No",3,0,"Family","House","Black","English"
"[25.000-30.000)","F","Together","18-24","Graduated High Scool","Clerical/Service Worker","7-10 years","Not Married",2,0,"Rent","Apartment","Black","English"
"[30.000-40.000)","F","Single","35-44","College graduate","Professional/Managerial","10+ years","Not Married",1,0,"Rent","Apartment","Black","English"
"[15.000-20.000)","M","Widowed","45-54","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married",1,0,"Own","House","Black","English"
"[10.000-15.000)","F","Single","25-34","1 to 3 years of college","Clerical/Service Worker","4-6 years","Not Married",2,0,"Rent","Apartment","American Indian","English"
"[30.000-40.000)","M","Married","45-54","Graduated High Scool","Sales Worker","4-6 years","Yes",5,2,"Own","House","Hispanic","English"
"[25.000-30.000)","F","Together","45-54","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married",2,0,"Own","House","White","English"
"[50.000-75.000)","F","Divorced","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",3,2,"Rent","House","Black","English"
"[30.000-40.000)","F","Married","35-44","College graduate","Sales Worker","4-6 years","Yes",3,1,"Own","House","Pacific Islander","English"
"[50.000-75.000)","M","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married",6,2,"Family","House","Black","English"
"[50.000-75.000)","M","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes",2,0,"Own","House","White","English"
"[50.000-75.000)","M","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes",2,0,"Own","House","White","English"
"[50.000-75.000)","M","Divorced","35-44","1 to 3 years of college","Professional/Managerial","7-10 years","Not Married",2,1,"Own","House","White","English"
"[15.000-20.000)","M","Widowed","55-64","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married",1,0,"Rent","Apartment","Hispanic","English"
"[20.000-25.000)","F","Divorced","45-54","Graduated High Scool","Clerical/Service Worker","4-6 years","Not Married",1,0,"Rent","Apartment","Black","English"
"[40.000-50.000)","M","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes",2,0,"Own","Condominium","Black","English"
"-10.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","4-6 years","Not Married",2,0,"Rent","Apartment","Black","English"
"[15.000-20.000)","M","Widowed","55-64","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"[25.000-30.000)","M","Together","35-44","College graduate","Professional/Managerial","10+ years","Not Married",3,1,"Rent","Apartment","Hispanic","English"
"[15.000-20.000)","F","Married","25-34","College graduate","Clerical/Service Worker","10+ years","Yes",2,0,"Rent","House","Hispanic","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",2,1,"Family","Apartment","Hispanic","English"
"-10.000)","F","Single","18-24","Graduated High Scool","Unemployed","10+ years","Not Married",3,2,"Rent","Apartment","Black","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",3,1,"Family","House","Other","English"
"[20.000-25.000)","F","Single","25-34","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",1,0,"Rent","Condominium","White","English"
"[10.000-15.000)","M","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married",4,1,"Own","House","White","English"
"[20.000-25.000)","F","Widowed","65+","Graduated High Scool","Retired","10+ years","Not Married",1,0,"Own","House","White","English"
"[50.000-75.000)","M","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes",2,0,"Own","Condominium","White","English"
"[75.000-","F","Married","45-54","1 to 3 years of college","Homemaker","10+ years","Yes",5,2,"Own","House","White","English"
"[50.000-75.000)","M","Single","35-44","Grad Study","Professional/Managerial","10+ years","Not Married",1,0,"Own","House","White","English"
"[25.000-30.000)","F","Widowed","55-64","1 to 3 years of college","Retired","1-3 years","Not Married",1,0,"Own","Mobile Home","Pacific Islander","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married",5,2,"Family","House","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","7-10 years","Not Married",4,2,"Family","House","White","English"
"[15.000-20.000)","M","Single","18-24","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"[20.000-25.000)","M","Married","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","No",2,0,"Rent","Apartment","White","English"
"[15.000-20.000)","F","Single","18-24","1 to 3 years of college","Professional/Managerial","1-3 years","Not Married",1,0,"Rent","Apartment","White","English"
"[15.000-20.000)","M","Together","18-24","1 to 3 years of college","Student, HS or College","7-10 years","No",1,0,"Rent","Mobile Home","Pacific Islander","English"
"[20.000-25.000)","F","Married","25-34","Graduated High Scool","Clerical/Service Worker","1-3 years","Yes",3,1,"Own","House","White","English"
"[40.000-50.000)","F","Married","35-44","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Yes",3,1,"Own","House","White","English"
"[30.000-40.000)","F","Married","35-44","College graduate","Homemaker","10+ years","No",4,2,"Own","House","White","English"
"[25.000-30.000)","M","Married","25-34","College graduate","Homemaker","10+ years","Yes",2,0,"Rent","Apartment","White","English"
"[30.000-40.000)","M","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes",5,3,"Own","House","White","English"
"[30.000-40.000)","M","Single","14-17","Grades 9 to 11","Unemployed","10+ years","Not Married",1,1,"Rent","Other","Pacific Islander","English"
"[25.000-30.000)","M","Together","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","4-6 years","No",3,1,"Rent","Apartment","White","English"
"[25.000-30.000)","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes",3,1,"Own","House","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","7-10 years","Not Married",5,3,"Family","House","White","English"
"[40.000-50.000)","F","Married","35-44","Graduated High Scool","Homemaker","10+ years","Yes",5,2,"Own","House","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Not Married",4,1,"Family","House","White","English"
"[10.000-15.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","4-6 years","Not Married",2,0,"Rent","Apartment","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",5,2,"Family","House","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",5,2,"Family","House","White","English"
"-10.000)","M","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married",3,0,"Family","House","Asian","Other"
"[25.000-30.000)","M","Married","35-44","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Yes",3,1,"Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","7-10 years","Not Married",3,1,"Family","House","White","English"
"[20.000-25.000)","M","Single","18-24","Graduated High Scool","Factory Worker/Laborer/Driver","4-6 years","Not Married",2,0,"Rent","Apartment","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",3,0,"Family","Apartment","White","English"
"[30.000-40.000)","M","Divorced","35-44","Graduated High Scool","Sales Worker","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"[20.000-25.000)","F","Married","25-34","1 to 3 years of college","Clerical/Service Worker","1-3 years","Yes",2,0,"Rent","Apartment","White","English"
"[20.000-25.000)","M","Together","25-34","Graduated High Scool","Factory Worker/Laborer/Driver","1-3 years","Not Married",2,0,"Rent","Apartment","White","English"
"[15.000-20.000)","F","Single","35-44","College graduate","Clerical/Service Worker","10+ years","Not Married",1,0,"Rent","Apartment","Other","English"
"[10.000-15.000)","M","Married","18-24","Graduated High Scool","Military","1-3 years","Yes",4,2,"Rent","House","Asian","English"
"[15.000-20.000)","F","Single","18-24","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",2,0,"Family","Apartment","Other","English"
"[10.000-15.000)","M","Single","25-34","College graduate","Sales Worker","10+ years","Not Married",2,0,"Rent","Apartment","White","English"
"[15.000-20.000)","F","Together","18-24","Graduated High Scool","Unemployed","7-10 years","Not Married",3,0,"Rent","Apartment","White","English"
"[30.000-40.000)","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes",2,0,"Rent","House","White","English"
"[30.000-40.000)","M","Married","45-54","1 to 3 years of college","Sales Worker","10+ years","Yes",4,2,"Own","House","Other","English"
"[25.000-30.000)","M","Married","25-34","Graduated High Scool","Homemaker","10+ years","No",2,0,"Rent","House","American Indian","English"
"[40.000-50.000)","F","Single","14-17","Grades 9 to 11","Unemployed","10+ years","Not Married",3,2,"Own","House","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","7-10 years","Not Married",5,3,"Family","House","White","English"
"[25.000-30.000)","M","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes",3,1,"Own","House","White","English"
"[15.000-20.000)","F","Widowed","65+","1 to 3 years of college","Retired","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"[25.000-30.000)","F","Widowed","55-64","College graduate","Retired","7-10 years","Not Married",1,0,"Rent","Mobile Home","White","English"
"[40.000-50.000)","M","Married","55-64","Graduated High Scool","Clerical/Service Worker","4-6 years","Yes",3,0,"Rent","Condominium","White","English"
"[25.000-30.000)","M","Married","55-64","Graduated High Scool","Retired","7-10 years","No",2,0,"Own","House","White","English"
"[15.000-20.000)","F","Divorced","18-24","Graduated High Scool","Military","1-3 years","Not Married",1,0,"Rent","Apartment","Hispanic","Spanish"
"[25.000-30.000)","M","Together","25-34","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married",3,1,"Rent","Apartment","Hispanic","English"
"[15.000-20.000)","F","Married","25-34","1 to 3 years of college","Clerical/Service Worker","7-10 years","Yes",2,0,"Rent","House","Black","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Sales Worker","7-10 years","Not Married",6,4,"Family","House","Hispanic","English"
"[30.000-40.000)","F","Married","25-34","Grad Study","Clerical/Service Worker","1-3 years","Yes",2,0,"Rent","Apartment","Black","English"
"[30.000-40.000)","F","Divorced","45-54","1 to 3 years of college","Professional/Managerial","4-6 years","Not Married",1,0,"Rent","Apartment","Black","English"
"[10.000-15.000)","F","Together","18-24","Graduated High Scool","Clerical/Service Worker","4-6 years","Yes",2,0,"Rent","Apartment","Black","English"
"[10.000-15.000)","M","Together","18-24","Graduated High Scool","Factory Worker/Laborer/Driver","4-6 years","Not Married",2,0,"Rent","Apartment","Black","English"
"[30.000-40.000)","M","Divorced","45-54","College graduate","Factory Worker/Laborer/Driver","10+ years","Not Married",1,0,"Own","House","Black","English"
"[15.000-20.000)","F","Single","18-24","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",3,0,"Family","House","Black","English"
"[20.000-25.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","4-6 years","Yes",2,0,"Own","House","Black","English"
"[10.000-15.000)","F","Together","18-24","Graduated High Scool","Clerical/Service Worker","7-10 years","Yes",2,0,"Rent","Apartment","Black","English"
"[30.000-40.000)","F","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married",1,0,"Rent","Apartment","Black","English"
"[40.000-50.000)","M","Single","35-44","College graduate","Professional/Managerial","10+ years","Not Married",1,0,"Rent","Condominium","Black","English"
"[50.000-75.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes",3,1,"Own","House","White","English"
"[50.000-75.000)","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes",4,1,"Own","House","Asian","English"
"[50.000-75.000)","M","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes",3,1,"Own","House","Black","English"
"[30.000-40.000)","M","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married",5,2,"Family","House","White","English"
"[30.000-40.000)","F","Married","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","4-6 years","Yes",4,2,"Own","House","White","English"
"[30.000-40.000)","F","Married","25-34","Graduated High Scool","Homemaker","10+ years","No",3,1,"Rent","House","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",3,0,"Family","House","White","English"
"[40.000-50.000)","M","Together","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","4-6 years","Not Married",2,0,"Rent","Apartment","White","English"
"[15.000-20.000)","F","Single","18-24","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",3,0,"Family","House","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",5,3,"Family","House","White","English"
"[10.000-15.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","7-10 years","Not Married",2,0,"Rent","Apartment","White","English"
"[20.000-25.000)","F","Divorced","35-44","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",2,1,"Rent","Mobile Home","White","English"
"[40.000-50.000)","M","Divorced","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",4,2,"Own","House","White","English"
"[20.000-25.000)","F","Divorced","35-44","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",2,0,"Rent","Apartment","White","English"
"[30.000-40.000)","M","Married","25-34","1 to 3 years of college","Sales Worker","7-10 years","Yes",3,1,"Own","House","White","English"
"[40.000-50.000)","M","Married","35-44","College graduate","Military","7-10 years","Yes",4,2,"Rent","Apartment","White","English"
"[25.000-30.000)","M","Single","25-34","College graduate","Sales Worker","10+ years","Not Married",1,0,"Rent","Condominium","Hispanic","English"
"[30.000-40.000)","M","Married","45-54","College graduate","Factory Worker/Laborer/Driver","10+ years","No",4,2,"Own","House","Black","English"
"[25.000-30.000)","F","Divorced","35-44","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married",2,1,"Own","House","Black","English"
"[40.000-50.000)","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes",2,0,"Own","House","Black","English"
"[25.000-30.000)","F","Divorced","45-54","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married",2,0,"Rent","Apartment","Black","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",5,2,"Family","House","Black","English"
"[20.000-25.000)","F","Divorced","25-34","Graduated High Scool","Factory Worker/Laborer/Driver","7-10 years","Not Married",1,0,"Rent","Apartment","Black","English"
"[25.000-30.000)","M","Widowed","45-54","College graduate","Factory Worker/Laborer/Driver","10+ years","Not Married",1,0,"Rent","Apartment","Black","English"
"[25.000-30.000)","M","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married",4,1,"Family","House","Black","English"
"[15.000-20.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","No",2,0,"Own","House","White","English"
"[15.000-20.000)","F","Widowed","55-64","College graduate","Unemployed","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"[20.000-25.000)","F","Widowed","55-64","1 to 3 years of college","Retired","10+ years","Not Married",2,0,"Own","Mobile Home","American Indian","English"
"[40.000-50.000)","M","Married","55-64","Graduated High Scool","Retired","10+ years","No",3,0,"Own","House","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",4,1,"Family","House","Asian","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",3,1,"Family","House","American Indian","English"
"[30.000-40.000)","M","Married","55-64","College graduate","Retired","10+ years","No",4,1,"Own","House","Asian","English"
"-10.000)","F","Together","18-24","1 to 3 years of college","Student, HS or College","7-10 years","Not Married",2,0,"Rent","Apartment","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",4,1,"Family","House","Asian","English"
"[15.000-20.000)","F","Together","14-17","Graduated High Scool","Sales Worker","10+ years","Not Married",4,1,"Family","House","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",3,1,"Family","House","Asian","English"
"-10.000)","F","Widowed","25-34","Grade 8 or less","Homemaker","10+ years","Not Married",5,0,"Family","Mobile Home","Pacific Islander","Spanish"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",4,1,"Family","House","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",6,3,"Family","House","Black","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",4,1,"Family","House","White","English"
"[75.000-","M","Divorced","35-44","Grad Study","Professional/Managerial","10+ years","Not Married",3,2,"Own","House","White","English"
"[50.000-75.000)","M","Together","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married",2,0,"Rent","Apartment","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",3,1,"Family","House","White","English"
"[75.000-","M","Single","18-24","Grad Study","Sales Worker","10+ years","Not Married",6,4,"Rent","House","Hispanic","English"
"[40.000-50.000)","M","Divorced","45-54","Graduated High Scool","Factory Worker/Laborer/Driver","7-10 years","Not Married",1,0,"Own","Condominium","Hispanic","Spanish"
"[20.000-25.000)","M","Together","18-24","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",2,1,"Rent","Apartment","Black","English"
"[10.000-15.000)","F","Together","18-24","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",2,0,"Rent","Apartment","Black","English"
"[30.000-40.000)","M","Together","18-24","1 to 3 years of college","Factory Worker/Laborer/Driver","7-10 years","Not Married",2,0,"Rent","Apartment","Black","English"
"[20.000-25.000)","M","Married","35-44","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Yes",6,2,"Own","House","Black","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",4,2,"Family","Condominium","East Indian","English"
"[30.000-40.000)","F","Together","45-54","1 to 3 years of college","Professional/Managerial","7-10 years","Yes",2,0,"Own","House","White","English"
"[25.000-30.000)","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes",4,2,"Own","House","Asian","English"
"[15.000-20.000)","F","Single","25-34","College graduate","Clerical/Service Worker","10+ years","Not Married",1,0,"Own","Condominium","White","English"
"-10.000)","F","Married","35-44","1 to 3 years of college","Homemaker","7-10 years","No",4,2,"Own","House","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","4-6 years","Not Married",4,1,"Own","House","Asian","English"
"[10.000-15.000)","F","Married","18-24","1 to 3 years of college","Sales Worker","10+ years","Yes",2,0,"Rent","Apartment","Pacific Islander","English"
"-10.000)","F","Married","25-34","1 to 3 years of college","Homemaker","7-10 years","No",3,1,"Rent","House","Asian","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",4,2,"Family","Condominium","East Indian","English"
"-10.000)","F","Married","55-64","Graduated High Scool","Homemaker","10+ years","No",2,0,"Own","House","White","English"
"[10.000-15.000)","F","Widowed","55-64","Graduated High Scool","Retired","10+ years","Not Married",5,2,"Family","House","Black","English"
"[50.000-75.000)","M","Single","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","7-10 years","Not Married",4,0,"Own","House","Asian","Other"
"[40.000-50.000)","F","Together","18-24","1 to 3 years of college","Clerical/Service Worker","7-10 years","Not Married",2,0,"Rent","Apartment","White","English"
"[20.000-25.000)","F","Together","35-44","1 to 3 years of college","Sales Worker","7-10 years","Not Married",4,1,"Own","House","Black","English"
"[30.000-40.000)","F","Single","14-17","Grades 9 to 11","Unemployed","7-10 years","Not Married",3,0,"Rent","House","Black","English"
"[15.000-20.000)","F","Divorced","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",3,0,"Rent","Condominium","Black","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",3,0,"Family","Apartment","White","English"
"[40.000-50.000)","M","Divorced","35-44","1 to 3 years of college","Sales Worker","10+ years","Not Married",1,0,"Rent","Apartment","Hispanic","Spanish"
"[75.000-","M","Married","35-44","1 to 3 years of college","Homemaker","4-6 years","No",2,0,"Own","House","White","English"
"[30.000-40.000)","M","Together","18-24","1 to 3 years of college","Military","7-10 years","No",2,0,"Rent","Apartment","Black","English"
"[30.000-40.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married",1,0,"Rent","Apartment","Black","English"
"-10.000)","F","Single","18-24","Grades 9 to 11","Unemployed","10+ years","Not Married",7,0,"Rent","House","White","English"
"[25.000-30.000)","M","Divorced","55-64","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married",1,0,"Rent","Apartment","Black","English"
"[50.000-75.000)","F","Married","25-34","1 to 3 years of college","Sales Worker","1-3 years","Yes",4,2,"Rent","Apartment","Black","English"
"[40.000-50.000)","M","Married","35-44","1 to 3 years of college","Factory Worker/Laborer/Driver","7-10 years","No",3,1,"Own","House","White","English"
