"Institution","City","State","ZIP","Highest_Degree","Region","Longitude","Latitude","Type","HBCU","HSI","Religious","Adm_Rate","Med_ACT","Enrollment","P_White","P_Black","P_Hispanic","P_Asian","P_Female","P_Pell","Med_Grad_Debt","Avg_Fac_Salary","Ret_Rate","Med_Grad_Earnings_4Y"
"Emory University","Atlanta","GA","30322","Graduate","Southeast",-84.325512,33.790183,"Private_non_profit","No","No","No",0.1135,33,7017,0.3311,0.0852,0.1142,0.237,0.5716,0.1899,"18250",15288,0.9521,71805
"Fort Valley State University","Fort Valley","GA","31030-4313","Graduate","Southeast",-83.89537,32.537595,"Public","Yes","No","Yes",0.4309,16,2347,0.0183,0.9242,0.0234,0.0047,0.6425,0.7371,"31000",7315,0.6731,37176
"Georgia Institute of Technology-Main Campus","Atlanta","GA","30332-0530","Graduate","Southeast",-84.394832,33.77242,"Public","No","No","Yes",0.1713,33,17379,0.3837,0.0787,0.0819,0.2993,0.3982,0.1404,"21672",15290,0.9786,91543
"Georgia Southwestern State University","Americus","GA","31709-4693","Graduate","Southeast",-84.217738,32.054662,"Public","No","No","Yes",0.7318,21,2092,0.5492,0.315,0.0684,0.0196,0.653,0.4727,"18851",7821,0.5973,46264
"Georgia College & State University","Milledgeville","GA","31061","Graduate","Southeast",-83.231962,33.082787,"Public","No","No","Yes",0.7995,23,5185,0.8322,0.0334,0.0638,0.0158,0.6476,0.1656,"22250",8458,0.8015,51360
"Georgia Southern University","Statesboro","GA","30460-8126","Graduate","Southeast",-81.784045,32.426153,"Public","No","No","Yes",0.8889,20,20996,0.5772,0.2566,0.0797,0.02,0.5721,0.3897,"23250",8874,0.7197,50380
"Georgia State University","Atlanta","GA","30303-3083","Graduate","Southeast",-84.38667,33.7527,"Public","No","No","Yes",0.6678,22,28439,0.1807,0.4238,0.1417,0.1591,0.5958,0.5246,"20903",9850,0.7826,48806
"University of Georgia","Athens","GA","30602","Graduate","Southeast",-83.374039,33.956262,"Public","No","No","Yes",0.4255,30,30566,0.6778,0.0624,0.0732,0.1211,0.5806,0.1856,"18500",12233,0.943,56318
"Life University","Marietta","GA","30060","Graduate","Southeast",-84.514729,33.932781,"Private_non_profit","No","No","Yes",0.9777,18,910,0.3088,0.2637,0.1813,0.0275,0.4934,0.4035,"16666",7434,0.6982,46732
"Mercer University","Macon","GA","31207","Graduate","Southeast",-83.649392,32.829134,"Private_non_profit","No","No","Yes",0.7468,28,4568,0.4477,0.3054,0.0762,0.0819,0.643,0.3484,"24199",9271,0.855,56091
"Morehouse College","Atlanta","GA","30314","Bachelors","Southeast",-84.414917,33.745982,"Private_non_profit","Yes","No","Yes",0.6001,21,2564,0.002,0.9844,4e-04,0,4e-04,0.433,"25000",6625,0.7981,52645
"Oglethorpe University","Atlanta","GA","30319-2797","Bachelors","Southeast",-84.333687,33.875441,"Private_non_profit","No","No","Yes",0.7099,25,1426,0.3724,0.2265,0.2286,0.04,0.6248,0.3838,"25000",7373,0.7624,48424
"Piedmont University","Demorest","GA","30535-0010","Graduate","Southeast",-83.542126,34.566042,"Private_non_profit","No","No","No",0.6435,22,1212,0.6724,0.1262,0.1048,0.014,0.6906,0.4361,"25000",7641,0.6789,49682
"Savannah College of Art and Design","Savannah","GA","31402-3146","Graduate","Southeast",-81.09395,32.072964,"Private_non_profit","No","No","Yes",0.8173,24,13352,0.5246,0.1154,0.0689,0.0613,0.699,0.1921,"25148",10062,0.8103,43044
"Shorter University","Rome","GA","30165","Graduate","Southeast",-85.196529,34.257543,"Private_non_profit","No","No","No",0.9747,20,1121,0.6218,0.1927,0.0963,0.0125,0.5442,0.4488,"25000",5141,0.7175,43337
"Thomas University","Thomasville","GA","31792","Graduate","Southeast",-83.963587,30.815576,"Private_non_profit","No","No","Yes",0.4609,18,726,0.3636,0.2507,0.0592,0.0193,0.522,0.4831,"21198",4744,0.3556,50958
"Toccoa Falls College","Toccoa Falls","GA","30598","Graduate","Southeast",-83.357617,34.593414,"Private_non_profit","No","No","No",0.6801,21,835,0.7365,0.1078,0.0671,0.0311,0.6084,0.5019,"22250",5511,0.5964,32311
"Truett McConnell University","Cleveland","GA","30528","Graduate","Southeast",-83.748911,34.596306,"Private_non_profit","No","No","No",0.8083,20,828,0.7403,0.0833,0.0519,0.0097,0.5133,0.3484,"23439",4489,0.6904,45490
"Valdosta State University","Valdosta","GA","31698","Graduate","Southeast",-83.289282,30.847402,"Public","No","No","Yes",0.8947,19,7277,0.4356,0.3889,0.1068,0.0144,0.6706,0.5387,"24779",8077,0.5906,43051
"University of West Georgia","Carrollton","GA","30118-0001","Graduate","Southeast",-85.097762,33.573621,"Public","No","No","Yes",0.8012,19,7939,0.4959,0.3319,0.0899,0.0108,0.6447,0.489,"23970",8259,0.7331,46269
"University of Hawaii at Hilo","Hilo","HI","96720-4091","Graduate","Pacific",-155.080847,19.701189,"Public","No","No","Yes",0.8424,18,2381,0.2083,0.0122,0.1592,0.1336,0.6451,0.4144,"20500",11242,0.6777,41098
"University of Hawaii at Manoa","Honolulu","HI","96822-2217","Graduate","Pacific",-157.818979,21.298598,"Public","No","No","Yes",0.7277,21,13915,0.2042,0.0148,0.1388,0.336,0.6017,0.2587,"18500",13414,0.7883,51430
"Hawaii Pacific University","Honolulu","HI","96813","Graduate","Pacific",-157.859645,21.310306,"Private_non_profit","No","No","Yes",0.871,25,2650,0.294,0.0645,0.2098,0.1679,0.6645,0.3173,"22000",8802,0.5885,56490
"University of Hawaii-West Oahu","Kapolei","HI","96707-4507","Bachelors","Pacific",-158.056403,21.35531,"Public","No","No","Yes",0.9637,19,2491,0.0807,0.0181,0.1538,0.3649,0.6515,0.3504,"14500",10631,0.6885,45390
"University of Idaho","Moscow","ID","83844-2282","Graduate","Mountain",-117.014167,46.727406,"Public","No","No","Yes",0.7385,24,7120,0.7493,0.0111,0.107,0.0162,0.5001,0.311,"21982",10198,0.7378,49248
"The College of Idaho","Caldwell","ID","83605-4432","Graduate","Mountain",-116.677992,43.652284,"Private_non_profit","No","No","Yes",0.4552,26,1052,0.5485,0.0209,0.1397,0.019,0.5048,0.2413,"24500",7494,0.7577,42900
"Northwest Nazarene University","Nampa","ID","83686-5897","Graduate","Mountain",-116.565783,43.562411,"Private_non_profit","No","No","No",0.8819,25,1115,0.748,0.0179,0.1336,0.0126,0.5632,0.3093,"23750",6688,0.7216,47007
"Brigham Young University-Idaho","Rexburg","ID","83460-1690","Bachelors","Mountain",-111.782431,43.818408,"Private_non_profit","No","No","No",0.9556,22,42213,0.6356,0.0274,0.1879,0.0143,0.5621,0.2669,"13969",9057,0.6792,46745
"Augustana College","Rock Island","IL","61201-2296","Graduate","East_North_Central",-90.55057,41.502365,"Private_non_profit","No","No","No",0.6122,24,2274,0.6073,0.0387,0.1288,0.0281,0.5462,0.2167,"27000",8014,0.8086,51270
"Aurora University","Aurora","IL","60506-4892","Graduate","East_North_Central",-88.349023,41.753631,"Private_non_profit","No","Yes","Yes",0.819,22,3987,0.4046,0.0599,0.3958,0.0356,0.6702,0.445,"20318",8761,0.7271,55567
"Bradley University","Peoria","IL","61625-0001","Graduate","East_North_Central",-89.616786,40.696896,"Private_non_profit","No","No","Yes",0.7514,27,4133,0.648,0.0881,0.1379,0.0443,0.5086,0.3019,"27000",9364,0.8258,58801
"University of Chicago","Chicago","IL","60637","Graduate","East_North_Central",-87.599539,41.787994,"Private_non_profit","No","No","Yes",0.0543,34,7511,0.3215,0.0674,0.1631,0.1978,0.4688,0.1307,"15000",18261,0.9898,90882
"DePaul University","Chicago","IL","60604","Graduate","East_North_Central",-87.62724,41.877618,"Private_non_profit","No","No","No",0.7017,27,13968,0.482,0.075,0.2319,0.1206,0.5496,0.3177,"23168",11885,0.8409,60694
"Elmhurst University","Elmhurst","IL","60126-3296","Graduate","East_North_Central",-87.945369,41.897164,"Private_non_profit","No","Yes","No",0.7601,24,2897,0.4867,0.0525,0.282,0.0766,0.6144,0.3805,"20489",6253,0.8038,56324
"Greenville University","Greenville","IL","62246","Graduate","East_North_Central",-89.40824,38.894162,"Private_non_profit","No","No","No",0.9412,20,902,0.5976,0.1308,0.0732,0.0033,0.4645,0.4069,"23875",6065,0.7621,40335
"University of Illinois Chicago","Chicago","IL","60607","Graduate","East_North_Central",-87.650503,41.871837,"Public","No","Yes","Yes",0.7869,27,21567,0.2336,0.0759,0.3632,0.2106,0.5325,0.5017,"16704",12948,0.7832,60411
"University of Illinois Urbana-Champaign","Champaign","IL","61820-5711","Graduate","East_North_Central",-88.229114,40.104718,"Public","No","No","Yes",0.4482,32,34031,0.3932,0.0591,0.1377,0.2222,0.4665,0.2551,"19500",13469,0.9332,68323
"Illinois Wesleyan University","Bloomington","IL","61702-2900","Bachelors","East_North_Central",-88.992014,40.489901,"Private_non_profit","No","No","Yes",0.4222,27,1518,0.691,0.0731,0.0916,0.0711,0.4875,0.2461,"27000",8665,0.8245,58031
"Illinois College","Jacksonville","IL","62650-2299","Bachelors","East_North_Central",-90.246171,39.7313,"Private_non_profit","No","No","No",0.7718,24,1011,0.7141,0.087,0.1009,0.0089,0.5302,0.3989,"25565",7438,0.7258,45451
"Illinois Institute of Technology","Chicago","IL","60616","Graduate","East_North_Central",-87.627321,41.8313,"Private_non_profit","No","No","Yes",0.6144,30,2877,0.3629,0.0494,0.2117,0.1693,0.3278,0.3007,"25000",13589,0.8471,75646
"Illinois State University","Normal","IL","61790-1000","Graduate","East_North_Central",-88.990058,40.509403,"Public","No","No","Yes",0.8624,24,18019,0.6859,0.1052,0.1295,0.0265,0.5647,0.3042,"20482",8941,0.8032,53765
"Judson University","Elgin","IL","60123-1498","Graduate","East_North_Central",-88.291336,42.061754,"Private_non_profit","No","No","No",0.582,20,781,0.3585,0.114,0.3739,0.0179,0.4955,0.3326,"25000",6770,0.6145,50757
"Knox College","Galesburg","IL","61401","Bachelors","East_North_Central",-90.373165,40.943064,"Private_non_profit","No","No","Yes",0.7332,29,1051,0.4862,0.0637,0.1313,0.0447,0.5595,0.3026,"27000",7545,0.8185,41174
"Lake Forest College","Lake Forest","IL","60045-2338","Graduate","East_North_Central",-87.827454,42.249574,"Private_non_profit","No","No","Yes",0.5972,28,1724,0.4745,0.0342,0.2036,0.0632,0.5858,0.354,"26158",8931,0.851,52935
"Lewis University","Romeoville","IL","60446-2200","Graduate","East_North_Central",-88.079032,41.605432,"Private_non_profit","No","No","No",0.7406,25,3650,0.5647,0.0616,0.2395,0.0668,0.4844,0.3243,"21500",10026,0.8082,58433
"Loyola University Chicago","Chicago","IL","60660","Graduate","East_North_Central",-87.656872,42.000765,"Private_non_profit","No","No","No",0.7915,29,11626,0.508,0.0624,0.208,0.1306,0.6888,0.2255,"24157",10827,0.8127,60771
"Millikin University","Decatur","IL","62522-2084","Graduate","East_North_Central",-88.976298,39.842612,"Private_non_profit","No","No","Yes",0.754,23,1603,0.6606,0.1859,0.0443,0.0187,0.549,0.3717,"27000",6282,0.7017,46587
"Monmouth College","Monmouth","IL","61462-1998","Bachelors","East_North_Central",-90.63731,40.914824,"Private_non_profit","No","No","No",0.907,26,761,0.6859,0.088,0.1183,0.0145,0.4915,0.3293,"27000",6421,0.7654,43045
"North Central College","Naperville","IL","60540","Graduate","East_North_Central",-88.14279,41.77576,"Private_non_profit","No","No","No",0.6087,25,2304,0.6263,0.0543,0.1667,0.0425,0.5082,0.2631,"24500",8931,0.7695,50833
"North Park University","Chicago","IL","60625-4895","Graduate","East_North_Central",-87.709948,41.975268,"Private_non_profit","No","Yes","No",0.6801,22,1866,0.3151,0.0911,0.336,0.0922,0.5809,0.4416,"25500",5951,0.7091,52863
"Northwestern University","Evanston","IL","60208","Graduate","East_North_Central",-87.679858,42.050356,"Private_non_profit","No","No","Yes",0.0721,34,8837,0.373,0.067,0.1419,0.2087,0.5375,0.1858,"15000",18705,0.9779,83318
"Rockford University","Rockford","IL","61108-2311","Graduate","East_North_Central",-89.019536,42.270639,"Private_non_profit","No","No","Yes",0.5491,18,908,0.4174,0.1322,0.1663,0.0187,0.5374,0.4937,"22274",6502,0.6386,50760
"Roosevelt University","Chicago","IL","60605-1394","Graduate","East_North_Central",-87.624952,41.876055,"Private_non_profit","No","Yes","Yes",0.8832,21,2362,0.3188,0.2091,0.3268,0.0508,0.6016,0.4878,"22000",8764,0.6028,46346
"Dominican University","River Forest","IL","60305","Graduate","East_North_Central",-87.823003,41.902678,"Private_non_profit","No","Yes","No",0.8953,19,2119,0.2109,0.0496,0.6616,0.0293,0.7121,0.4972,"24411",7568,0.7484,52737
"University of St Francis","Joliet","IL","60435-6188","Graduate","East_North_Central",-88.096057,41.532225,"Private_non_profit","No","Yes","No",0.5842,28,1390,0.495,0.0942,0.295,0.0367,0.6719,0.3884,"21079",7873,0.7129,61367
"University of Illinois Springfield","Springfield","IL","62703-5407","Graduate","East_North_Central",-89.616796,39.729524,"Public","No","No","Yes",0.8203,24,2348,0.6299,0.1316,0.1099,0.0392,0.543,0.3683,"19128",8791,0.7577,54111
"Southern Illinois University-Carbondale","Carbondale","IL","62901-4512","Graduate","East_North_Central",-89.217273,37.714193,"Public","No","No","Yes",0.915,24,7922,0.6604,0.1674,0.0937,0.0184,0.5011,0.3676,"21543",7964,0.7032,49119
"Southern Illinois University-Edwardsville","Edwardsville","IL","62026-1259","Graduate","East_North_Central",-89.997779,38.793949,"Public","No","No","Yes",0.9751,23,9283,0.6865,0.1381,0.0634,0.024,0.5729,0.3245,"20500",8994,0.7051,52692
"Trinity Christian College","Palos Heights","IL","60463-0929","Graduate","East_North_Central",-87.783973,41.667687,"Private_non_profit","No","No","No",0.7068,22,783,0.5556,0.1392,0.2005,0.0204,0.6156,0.3367,"25009",7188,0.7654,48798
"Trinity International University-Illinois","Deerfield","IL","60015-1283","Graduate","East_North_Central",-87.880851,42.197945,"Private_non_profit","No","No","No",0.9126,22,409,0.4474,0.198,0.2005,0.0171,0.3765,0.4105,"26082",7415,0.7143,45762
"Wheaton College","Wheaton","IL","60187-5593","Graduate","East_North_Central",-88.099643,41.870176,"Private_non_profit","No","No","No",0.8843,31,2141,0.6861,0.0257,0.0766,0.1009,0.5577,0.2126,"23250",9678,0.9024,48428
"Anderson University","Anderson","IN","46012-3495","Graduate","East_North_Central",-85.664315,40.112768,"Private_non_profit","No","No","No",0.5175,21,1111,0.7408,0.1035,0.0549,0.0153,0.5122,0.3724,"27000",6405,0.6901,45316
"Ball State University","Muncie","IN","47306","Graduate","East_North_Central",-85.409043,40.203431,"Public","No","No","Yes",0.6895,26,13466,0.7472,0.0965,0.0724,0.0194,0.612,0.3598,"23250",7979,0.7288,47689
"Butler University","Indianapolis","IN","46208","Graduate","East_North_Central",-86.172167,39.8374,"Private_non_profit","No","No","Yes",0.8206,28,4304,0.8044,0.0388,0.0634,0.0404,0.5911,0.1395,"26000",9163,0.8867,62026
"DePauw University","Greencastle","IN","46135-1772","Bachelors","East_North_Central",-86.860363,39.640904,"Private_non_profit","No","No","Yes",0.658,28,1732,0.5918,0.0577,0.0808,0.0271,0.5069,0.1651,"27000",9899,0.924,57112
"Earlham College","Richmond","IN","47374-4095","Graduate","East_North_Central",-84.915037,39.823431,"Private_non_profit","No","No","No",0.7324,26,589,0.5654,0.0764,0.0866,0.0272,0.5314,0.2511,"23488",7584,0.7953,34083
"University of Evansville","Evansville","IN","47722","Graduate","East_North_Central",-87.531644,37.971549,"Private_non_profit","No","No","No",0.7632,25,1460,0.7685,0.0466,0.0486,0.0308,0.6164,0.2439,"24606",8987,0.8012,46244
"Franklin College","Franklin","IN","46131-2623","Graduate","East_North_Central",-86.047182,39.478298,"Private_non_profit","No","No","No",0.9286,22,859,0.8091,0.0559,0.0536,0.0198,0.4703,0.4,"27000",6801,0.7233,46223
"Goshen College","Goshen","IN","46526-4794","Graduate","East_North_Central",-85.827795,41.563582,"Private_non_profit","No","Yes","No",0.9354,27,704,0.4659,0.0455,0.294,0.0241,0.6165,0.3255,"22974",6181,0.8033,44233
"Grace College and Theological Seminary","Winona Lake","IN","46590-1274","Graduate","East_North_Central",-85.814228,41.22595,"Private_non_profit","No","No","No",0.8462,23,1458,0.7942,0.0322,0.0748,0.0171,0.607,0.3378,"19500",7676,0.7864,38759
"Hanover College","Hanover","IN","47243","Bachelors","East_North_Central",-85.460051,38.715642,"Private_non_profit","No","No","No",0.7411,26,949,0.7692,0.0474,0.0263,0.0063,0.5005,0.2759,"25250",8459,0.779,45895
"Huntington University","Huntington","IN","46750","Graduate","East_North_Central",-85.497317,40.898152,"Private_non_profit","No","No","No",0.775,22,1066,0.8377,0.0356,0.0206,0.0178,0.621,0.3892,"25576",7123,0.8193,37730
"Purdue University Fort Wayne","Fort Wayne","IN","46805-1499","Graduate","East_North_Central",-85.108962,41.117278,"Public","No","No","Yes",0.8066,23,5482,0.7138,0.0655,0.0949,0.0527,0.49,0.3565,"21500",7622,0.6272,47216
"Indiana University-Purdue University-Indianapolis","Indianapolis","IN","46202-5143","Graduate","East_North_Central",-86.172217,39.772948,"Public","No","No","Yes",0.8289,25,17278,0.6123,0.1044,0.1314,0.0685,0.593,0.3686,"20000",9176,0.7085,52331
"University of Southern Indiana","Evansville","IN","47712","Graduate","East_North_Central",-87.677214,37.962374,"Public","No","No","Yes",0.9444,23,5491,0.8459,0.0382,0.0397,0.02,0.6354,0.298,"20105",7710,0.6989,46893
"Indiana University-Kokomo","Kokomo","IN","46902-9003","Graduate","East_North_Central",-86.132048,40.460062,"Public","No","No","Yes",0.8575,23,2419,0.7768,0.0455,0.1021,0.0153,0.6552,0.3721,"16961",6756,0.6388,48742
"Indiana University-South Bend","South Bend","IN","46615-7111","Graduate","East_North_Central",-86.221991,41.665324,"Public","No","No","Yes",0.8688,19,3666,0.6195,0.0829,0.1999,0.0205,0.65,0.4197,"21355",6862,0.6604,46059
"Indiana University-Bloomington","Bloomington","IN","47405-7000","Graduate","East_North_Central",-86.526559,39.16609,"Public","No","Yes","Yes",0.8241,30,35401,0.6768,0.0417,0.0821,0.0915,0.4963,0.1758,"19509",11322,0.8986,57463
"Indiana University-Northwest","Gary","IN","46408-1197","Graduate","East_North_Central",-87.337249,41.557324,"Public","No","Yes","Yes",0.8031,22,2711,0.4596,0.1682,0.2925,0.0325,0.7473,0.4495,"21710",7291,0.6791,48057
"Indiana University-Southeast","New Albany","IN","47150","Graduate","East_North_Central",-85.819985,38.345191,"Public","No","No","Yes",0.8523,23,3133,0.8066,0.0584,0.0565,0.0207,0.6109,0.349,"19684",7406,0.6052,46243
"Indiana University-East","Richmond","IN","47374-1289","Graduate","East_North_Central",-84.881923,39.868707,"Public","No","No","Yes",0.7755,22,2472,0.7553,0.0603,0.0688,0.021,0.6509,0.3926,"18000",7374,0.6388,48167
"Indiana Wesleyan University-Marion","Marion","IN","46953-4974","Graduate","East_North_Central",-85.667503,40.517937,"Private_non_profit","No","No","No",0.8672,24,2097,0.8221,0.0496,0.0439,0.0243,0.6366,0.2817,"24250",7614,0.7823,59834
"University of Notre Dame","Notre Dame","IN","46556","Graduate","East_North_Central",-86.238959,41.703058,"Private_non_profit","No","No","No",0.1291,34,8917,0.6372,0.0393,0.1304,0.057,0.4863,0.1155,"19000",15767,0.9738,83696
"Oakland City University","Oakland City","IN","47660-1099","Graduate","East_North_Central",-87.35144,38.340891,"Private_non_profit","No","No","No",0.5572,20,604,0.6192,0.1258,0.0348,0.0149,0.4503,0.3648,"16758",5965,0.7114,44098
"Rose-Hulman Institute of Technology","Terre Haute","IN","47803-3920","Graduate","East_North_Central",-87.326749,39.483602,"Private_non_profit","No","No","Yes",0.7302,31,2154,0.682,0.0376,0.0511,0.078,0.2437,0.1228,"25000",11313,0.9167,88989
