Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,ID
Eli White,28,TEX,AL,47,117,105,16,21,2,0,3,10,12,1,11,41,0.2,0.274,0.305,0.578,whiteel04
Aaron Whitefield,25,LAA,AL,5,11,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,whiteaa01
Luke Williams,25,TOT,NL,79,136,127,21,30,5,1,1,6,11,4,9,44,0.236,0.287,0.315,0.602,willilu01
Luke Williams,25,SFG,NL,8,12,12,1,3,1,0,0,3,0,0,0,4,0.25,0.25,0.333,0.583,willilu01
Luke Williams,25,MIA,NL,71,124,115,20,27,4,1,1,3,11,4,9,40,0.235,0.29,0.313,0.603,willilu01
Trevor Williams,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,willitr01
Marcus Wilson,25,SEA,AL,3,6,5,1,1,0,0,0,0,0,0,1,4,0.2,0.333,0.2,0.533,wilsoma02
Jesse Winker*,28,SEA,AL,136,547,456,51,100,15,0,14,53,0,0,84,103,0.219,0.344,0.344,0.688,winkeje01
Patrick Wisdom,30,CHC,NL,134,534,469,67,97,28,0,25,66,8,4,53,183,0.207,0.298,0.426,0.725,wisdopa01
Bobby Witt,22,KCR,AL,150,632,591,82,150,31,6,20,80,30,7,30,135,0.254,0.294,0.428,0.722,wittbo02
Tony Wolters*,30,LAD,NL,2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,wolteto01
Connor Wong,26,BOS,AL,27,56,48,8,9,3,0,1,7,0,0,5,16,0.188,0.273,0.313,0.585,wongco01
Kolten Wong*,31,MIL,NL,134,497,430,65,108,24,4,15,47,17,6,46,88,0.251,0.339,0.43,0.77,wongko01
Austin Wynns,31,SFG,NL,65,177,162,14,42,7,0,3,21,0,0,10,38,0.259,0.313,0.358,0.671,wynnsau01
Mike Yastrzemski*,31,SFG,NL,148,558,485,73,104,31,2,17,57,5,1,61,141,0.214,0.305,0.392,0.697,yastrmi01
Christian Yelich*,30,MIL,NL,154,671,575,99,145,25,4,14,57,19,3,88,162,0.252,0.355,0.383,0.738,yelicch01
Juan Yepez,24,STL,NL,76,274,253,27,64,13,0,12,30,0,0,16,61,0.253,0.296,0.447,0.742,yepezju01
Jared Young*,26,CHC,NL,6,22,19,2,5,2,0,0,0,1,0,3,7,0.263,0.364,0.368,0.732,youngja02
Seby Zavala,28,CHW,AL,61,205,178,22,48,14,0,2,21,0,0,19,64,0.27,0.347,0.382,0.729,zavalse01
Bradley Zimmer*,29,TOT,MLB,109,117,105,18,13,5,0,2,5,3,2,5,45,0.124,0.207,0.229,0.435,zimmebr01
Bradley Zimmer*,29,TOR,AL,100,101,89,14,9,4,0,2,5,3,2,5,41,0.101,0.2,0.213,0.413,zimmebr01
Bradley Zimmer*,29,PHI,NL,9,16,16,4,4,1,0,0,0,0,0,0,4,0.25,0.25,0.313,0.563,zimmebr01
Mike Zunino,31,TBR,AL,36,123,115,7,17,3,0,5,16,0,0,6,46,0.148,0.195,0.304,0.499,zuninmi01
